HDR,ROLLING SYSTEM DEMAND
VD,20220207000000,26119
VD,20220207000500,26331
VD,20220207001000,26428
VD,20220207001500,26533
VD,20220207002000,26500
VD,20220207002500,26582
VD,20220207003000,26631
VD,20220207003500,26664
VD,20220207004000,26725
VD,20220207004500,26830
VD,20220207005000,26777
VD,20220207005500,26720
VD,20220207010000,26757
VD,20220207010500,27013
VD,20220207011000,26898
VD,20220207011500,26661
VD,20220207012000,26670
VD,20220207012500,26673
VD,20220207013000,26489
VD,20220207013500,26318
VD,20220207014000,26355
VD,20220207014500,26402
VD,20220207015000,26376
VD,20220207015500,26306
VD,20220207020000,26186
VD,20220207020500,26040
VD,20220207021000,25946
VD,20220207021500,25872
VD,20220207022000,25788
VD,20220207022500,25807
VD,20220207023000,25659
VD,20220207023500,25631
VD,20220207024000,25604
VD,20220207024500,25478
VD,20220207025000,25348
VD,20220207025500,25193
VD,20220207030000,25122
VD,20220207030500,25014
VD,20220207031000,24883
VD,20220207031500,24799
VD,20220207032000,24807
VD,20220207032500,24584
VD,20220207033000,24435
VD,20220207033500,24449
VD,20220207034000,24439
VD,20220207034500,24470
VD,20220207035000,24409
VD,20220207035500,24347
VD,20220207040000,24363
VD,20220207040500,24411
VD,20220207041000,24453
VD,20220207041500,24438
VD,20220207042000,24359
VD,20220207042500,24315
VD,20220207043000,24279
VD,20220207043500,24402
VD,20220207044000,24526
VD,20220207044500,24657
VD,20220207045000,24754
VD,20220207045500,24784
VD,20220207050000,24893
VD,20220207050500,25291
VD,20220207051000,25571
VD,20220207051500,25764
VD,20220207052000,25992
VD,20220207052500,26256
VD,20220207053000,26513
VD,20220207053500,26708
VD,20220207054000,26715
VD,20220207054500,26861
VD,20220207055000,27228
VD,20220207055500,27570
VD,20220207060000,27880
VD,20220207060500,28608
VD,20220207061000,29388
VD,20220207061500,29785
VD,20220207062000,30146
VD,20220207062500,30497
VD,20220207063000,31079
VD,20220207063500,31531
VD,20220207064000,32039
VD,20220207064500,32334
VD,20220207065000,32845
VD,20220207065500,33372
VD,20220207070000,34055
VD,20220207070500,34836
VD,20220207071000,35386
VD,20220207071500,35884
VD,20220207072000,36323
VD,20220207072500,36629
VD,20220207073000,36652
VD,20220207073500,36725
VD,20220207074000,37033
VD,20220207074500,37399
VD,20220207075000,37682
VD,20220207075500,37694
VD,20220207080000,37763
VD,20220207080500,37849
VD,20220207081000,38024
VD,20220207081500,38304
VD,20220207082000,38356
VD,20220207082500,38495
VD,20220207083000,38516
VD,20220207083500,38517
VD,20220207084000,38595
VD,20220207084500,38642
VD,20220207085000,38692
VD,20220207085500,38770
VD,20220207090000,38773
VD,20220207090500,39198
VD,20220207091000,39255
VD,20220207091500,39002
VD,20220207092000,38857
VD,20220207092500,38892
VD,20220207093000,38913
VD,20220207093500,38809
VD,20220207094000,38890
VD,20220207094500,38738
VD,20220207095000,38638
VD,20220207095500,38580
VD,20220207100000,38369
VD,20220207100500,38211
VD,20220207101000,37988
VD,20220207101500,37910
VD,20220207102000,37847
VD,20220207102500,37681
VD,20220207103000,37703
VD,20220207103500,37661
VD,20220207104000,37743
VD,20220207104500,37788
VD,20220207105000,37839
VD,20220207105500,37826
VD,20220207110000,37935
VD,20220207110500,37910
VD,20220207111000,37744
VD,20220207111500,37674
VD,20220207112000,37640
VD,20220207112500,37588
VD,20220207113000,37404
VD,20220207113500,37360
VD,20220207114000,37350
VD,20220207114500,37343
VD,20220207115000,37436
VD,20220207115500,37428
VD,20220207120000,37408
VD,20220207120500,37592
VD,20220207121000,37787
VD,20220207121500,37803
VD,20220207122000,37856
VD,20220207122500,37895
VD,20220207123000,37912
VD,20220207123500,37782
VD,20220207124000,37743
VD,20220207124500,37693
VD,20220207125000,37673
VD,20220207125500,37616
VD,20220207130000,37670
VD,20220207130500,37529
VD,20220207131000,37751
VD,20220207131500,37797
VD,20220207132000,37910
VD,20220207132500,37869
VD,20220207133000,37915
VD,20220207133500,37747
VD,20220207134000,37643
VD,20220207134500,37618
VD,20220207135000,37547
VD,20220207135500,37518
VD,20220207140000,37519
VD,20220207140500,37428
VD,20220207141000,37519
VD,20220207141500,37607
VD,20220207142000,37526
VD,20220207142500,37476
VD,20220207143000,37519
VD,20220207143500,37587
VD,20220207144000,37576
VD,20220207144500,37450
VD,20220207145000,37468
VD,20220207145500,37400
VD,20220207150000,37461
VD,20220207150500,37996
VD,20220207151000,38243
VD,20220207151500,38379
VD,20220207152000,38490
VD,20220207152500,38502
VD,20220207153000,38458
VD,20220207153500,38626
VD,20220207154000,38845
VD,20220207154500,39033
VD,20220207155000,39388
VD,20220207155500,39680
VD,20220207160000,39747
VD,20220207160500,39587
VD,20220207161000,39659
VD,20220207161500,39683
VD,20220207162000,39957
VD,20220207162500,40102
VD,20220207163000,40232
VD,20220207163500,40252
VD,20220207164000,40422
VD,20220207164500,40559
VD,20220207165000,40955
VD,20220207165500,41283
VD,20220207170000,41539
VD,20220207170500,41894
VD,20220207171000,42296
VD,20220207171500,42467
VD,20220207172000,42673
VD,20220207172500,43015
VD,20220207173000,43202
VD,20220207173500,43257
VD,20220207174000,43323
VD,20220207174500,43323
VD,20220207175000,43298
VD,20220207175500,43177
VD,20220207180000,43097
VD,20220207180500,43315
VD,20220207181000,43442
VD,20220207181500,43328
VD,20220207182000,43235
