Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007
Aruba,ABW,Rural population,SP.RUR.TOTL,48416,49847,51322,52771,54072,55140,55950,56538
Africa Eastern and Southern,AFE,Rural population,SP.RUR.TOTL,283976874,290144369,296373566,302759083,309309701,315978640,322898173,330345945
Afghanistan,AFG,Rural population,SP.RUR.TOTL,16192158,16816938,17569616,18387486,19163184,19829984,20378037,20836794
Africa Western and Central,AFW,Rural population,SP.RUR.TOTL,172746238,175765996,178806572,181860863,184954165,188104771,191308868,194584736
Angola,AGO,Rural population,SP.RUR.TOTL,8183474,8256988,8328556,8400211,8473614,8550786,8712013,8879761
Albania,ALB,Rural population,SP.RUR.TOTL,1799636,1761589,1723790,1684768,1645111,1604189,1561661,1517619
Andorra,AND,Rural population,SP.RUR.TOTL,4973,5350,5855,6435,7052,7662,8256,8840
Arab World,ARB,Rural population,SP.RUR.TOTL,132731950,134837866,136973273,139111093,141291859,143402954,145536684,148138443
United Arab Emirates,ARE,Rural population,SP.RUR.TOTL,619417,638912,658635,687747,737592,813859,919686,1047285
Argentina,ARG,Rural population,SP.RUR.TOTL,4003431,3977684,3952815,3928382,3903086,3877236,3850408,3823186
Armenia,ARM,Rural population,SP.RUR.TOTL,1084611,1086502,1085071,1082323,1079117,1075103,1069751,1063396
American Samoa,ASM,Rural population,SP.RUR.TOTL,6599,6732,6856,6963,7044,7087,7093,7062
Antigua and Barbuda,ATG,Rural population,SP.RUR.TOTL,51588,52705,53949,55150,56374,57660,59054,60499
Australia,AUS,Rural population,SP.RUR.TOTL,3019470,3086667,3100598,3115023,3127194,3144470,3166779,3161213
Austria,AUT,Rural population,SP.RUR.TOTL,3187562,3222225,3260666,3299328,3342824,3388796,3428840,3463449
Azerbaijan,AZE,Rural population,SP.RUR.TOTL,3912746,3926875,3939942,3953356,3971421,3995444,4022610,4051232
Burundi,BDI,Rural population,SP.RUR.TOTL,5852869,5973420,6122066,6293693,6479923,6674402,6876203,7086696
Belgium,BEL,Rural population,SP.RUR.TOTL,294313,289464,285082,280571,276160,272130,268551,265111
Benin,BEN,Rural population,SP.RUR.TOTL,4234023,4341573,4447568,4547229,4646979,4745990,4843941,4941148
Burkina Faso,BFA,Rural population,SP.RUR.TOTL,9536628,9730062,9925692,10124205,10325819,10531253,10739874,10974632
Bangladesh,BGD,Rural population,SP.RUR.TOTL,97543372,98742534,99681804,100515443,101213793,101761476,102143880,102377369
Bulgaria,BGR,Rural population,SP.RUR.TOTL,2541005,2469539,2388453,2342006,2297078,2252963,2209465,2167172
Bahrain,BHR,Rural population,SP.RUR.TOTL,77281,81132,85475,90463,96270,102947,110679,119256
"Bahamas, The",BHS,Rural population,SP.RUR.TOTL,53627,54323,55095,55943,56839,57764,58725,59711
Bosnia and Herzegovina,BIH,Rural population,SP.RUR.TOTL,2161278,2151985,2142325,2132027,2121199,2109904,2098018,2084549
Belarus,BLR,Rural population,SP.RUR.TOTL,2996577,2933092,2867027,2800401,2735436,2671686,2611003,2555356
Belize,BLZ,Rural population,SP.RUR.TOTL,135036,139316,143358,147250,151171,155201,159374,163633
Bermuda,BMU,Rural population,SP.RUR.TOTL,0,0,0,0,0,0,0,0
Bolivia,BOL,Rural population,SP.RUR.TOTL,3216874,3234237,3253816,3273067,3291065,3307933,3323358,3337615
Brazil,BRA,Rural population,SP.RUR.TOTL,32874567,32687356,32532199,32356591,32162492,31950579,31719371,31470391
Barbados,BRB,Rural population,SP.RUR.TOTL,179667,180857,182015,183160,184338,185574,186891,188260
Brunei Darussalam,BRN,Rural population,SP.RUR.TOTL,96072,96394,96938,97435,97788,97985,98012,97896
Bhutan,BTN,Rural population,SP.RUR.TOTL,440790,443798,446187,447725,448220,447860,448928,448995
Botswana,BWA,Rural population,SP.RUR.TOTL,768768,769312,774417,779971,785874,792601,800457,789043
Central African Republic,CAF,Rural population,SP.RUR.TOTL,2270203,2318072,2364848,2410837,2456474,2501009,2545259,2588531
Canada,CAN,Rural population,SP.RUR.TOTL,6297326,6263120,6307139,6339248,6373758,6409413,6444858,6447564
Central Europe and the Baltics,CEB,Rural population,SP.RUR.TOTL,41778237,41454011,41119861,40941382,40780148,40611197,40443275,40210586
Switzerland,CHE,Rural population,SP.RUR.TOTL,1912232,1924949,1937671,1950193,1961798,1972472,1982943,1998781
Channel Islands,CHI,Rural population,SP.RUR.TOTL,103217,103630,103880,104120,104479,105045,105868,106910
Chile,CHL,Rural population,SP.RUR.TOTL,2136729,2115932,2100770,2113551,2125988,2138869,2151926,2165456
China,CHN,Rural population,SP.RUR.TOTL,809645853,800082679,788406300,775926016,762817902,749352182,735901746,722214159
Cote d'Ivoire,CIV,Rural population,SP.RUR.TOTL,9353651,9510500,9652591,9785561,9916657,10052033,10192921,10338863
Cameroon,CMR,Rural population,SP.RUR.TOTL,8448584,8579470,8712388,8847674,8985203,9125434,9268015,9412716
"Congo, Dem. Rep.",COD,Rural population,SP.RUR.TOTL,30561320,31194272,31890439,32641875,33433387,34251593,35094796,35966554
"Congo, Rep.",COG,Rural population,SP.RUR.TOTL,1291781,1314331,1336829,1360177,1385476,1413317,1444090,1477074
Colombia,COL,Rural population,SP.RUR.TOTL,10320832,10313978,10301818,10283437,10258117,10225220,10185476,10140105
Comoros,COM,Rural population,SP.RUR.TOTL,390064,400044,410071,420222,430585,441135,451886,462823
Cabo Verde,CPV,Rural population,SP.RUR.TOTL,199381,199155,198683,197980,197049,195914,194570,193053
Costa Rica,CRI,Rural population,SP.RUR.TOTL,1622511,1597090,1568480,1537368,1504663,1471128,1436813,1401816
Caribbean small states,CSS,Rural population,SP.RUR.TOTL,3240589,3258164,3278475,3299971,3321602,3343726,3365791,3387831
Cuba,CUB,Rural population,SP.RUR.TOTL,2745667,2729205,2711999,2700956,2695476,2687690,2677135,2664265
Curacao,CUW,Rural population,SP.RUR.TOTL,12379,11600,11765,12167,12540,13031,13543,13992
