Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007
Aruba,ABW,Urban population,SP.URB.TOTL,42450,43045,43670,44245,44672,44888,44880,44688
Africa Eastern and Southern,AFE,Urban population,SP.URB.TOTL,114136170,118377760,122850151,127487552,132320448,137425436,142683199,147820966
Afghanistan,AFG,Urban population,SP.URB.TOTL,4587799,4790054,5031158,5293385,5563505,5824290,6055021,6263748
Africa Western and Central,AFW,Urban population,SP.URB.TOTL,94468306,98667898,103035908,107608667,112398933,117415817,122676606,128156920
Angola,AGO,Urban population,SP.URB.TOTL,8212003,8688765,9190862,9721266,10284524,10882818,11437892,12025599
Albania,ALB,Urban population,SP.URB.TOTL,1289391,1298584,1327220,1354848,1381828,1407298,1430886,1452398
Andorra,AND,Urban population,SP.URB.TOTL,60417,61994,64193,66745,69198,71209,72739,73842
Arab World,ARB,Urban population,SP.URB.TOTL,149612191,153594287,157691929,162002776,166570987,171562822,176916080,182152309
United Arab Emirates,ARE,Urban population,SP.URB.TOTL,2514650,2663810,2820134,3024184,3330985,3774363,4380486,5121561
Argentina,ARG,Urban population,SP.URB.TOTL,32867365,33297960,33728928,34159484,34588884,35015688,35439468,35861117
Armenia,ARM,Urban population,SP.URB.TOTL,1984986,1964184,1948905,1935615,1921598,1906159,1888550,1869219
American Samoa,ASM,Urban population,SP.URB.TOTL,51217,51764,52221,52532,52640,52470,52016,51305
Antigua and Barbuda,ATG,Urban population,SP.URB.TOTL,24419,24507,24349,24161,23973,23802,23661,23530
Australia,AUS,Urban population,SP.URB.TOTL,16133530,16326333,16550802,16780377,17000206,17250330,17531121,17666387
Austria,AUT,Urban population,SP.URB.TOTL,4824004,4820068,4821291,4822095,4829142,4839033,4839801,4832038
Azerbaijan,AZE,Urban population,SP.URB.TOTL,4135854,4184325,4232008,4280744,4335079,4396406,4461940,4530068
Burundi,BDI,Urban population,SP.URB.TOTL,526002,552126,582052,615468,651765,690455,731647,775530
Belgium,BEL,Urban population,SP.URB.TOTL,9956937,9997106,10047703,10095562,10144977,10206487,10279407,10360589
Benin,BEN,Urban population,SP.URB.TOTL,2631923,2735155,2847832,2973327,3103024,3236233,3372952,3513642
Burkina Faso,BFA,Urban population,SP.URB.TOTL,2071323,2214527,2367405,2530419,2704757,2890682,3089299,3277397
Bangladesh,BGD,Urban population,SP.URB.TOTL,30114490,31346175,32796273,34276155,35772636,37274029,38777274,40283012
Bulgaria,BGR,Urban population,SP.URB.TOTL,5629167,5539603,5448708,5433321,5419782,5406009,5391557,5378166
Bahrain,BHR,Urban population,SP.URB.TOTL,587329,616418,649665,688245,733576,786210,847744,916668
"Bahamas, The",BHS,Urban population,SP.URB.TOTL,244418,248295,252562,257180,262054,267084,272307,277676
Bosnia and Herzegovina,BIH,Urban population,SP.URB.TOTL,1589898,1603529,1617064,1630152,1642995,1655428,1667404,1678242
Belarus,BLR,Urban population,SP.URB.TOTL,6983033,6995457,6998521,6996348,6994710,6992229,6993921,7005597
Belize,BLZ,Urban population,SP.URB.TOTL,112274,115752,119029,122178,125345,128597,131964,135398
Bermuda,BMU,Urban population,SP.URB.TOTL,61833,62504,62912,63325,63740,64154,64523,64888
Bolivia,BOL,Urban population,SP.URB.TOTL,5201396,5346007,5489006,5632753,5777979,5924368,6072091,6220823
Brazil,BRA,Urban population,SP.URB.TOTL,141915772,144508695,147005324,149452653,151843987,154176529,156447982,158660054
Barbados,BRB,Urban population,SP.URB.TOTL,91844,91637,91408,91171,90945,90746,90584,90441
Brunei Darussalam,BRN,Urban population,SP.URB.TOTL,237094,243643,249839,255860,261646,267127,272250,277071
Bhutan,BTN,Urban population,SP.URB.TOTL,150224,159845,169838,180115,190589,200884,208476,215878
Botswana,BWA,Urban population,SP.URB.TOTL,874565,905362,930220,954416,979659,1006476,1035454,1086415
Central African Republic,CAF,Urban population,SP.URB.TOTL,1370218,1403944,1437281,1470348,1503409,1537371,1572816,1609473
Canada,CAN,Urban population,SP.URB.TOTL,24388404,24757782,25052940,25304780,25566897,25834340,26126316,26441461
Central Europe and the Baltics,CEB,Urban population,SP.URB.TOTL,66669587,66206030,65839890,65682785,65551568,65430714,65329206,65168162
Switzerland,CHE,Urban population,SP.URB.TOTL,5272018,5304905,5347082,5388808,5427827,5464643,5500991,5552336
Channel Islands,CHI,Urban population,SP.URB.TOTL,45222,45467,45711,45950,46243,46629,47131,47734
Chile,CHL,Urban population,SP.URB.TOTL,13205621,13400180,13583643,13736098,13888984,14043844,14202581,14364745
China,CHN,Urban population,SP.URB.TOTL,452999147,471767321,491993700,512473984,533257098,554367818,575118254,595670841
Cote d'Ivoire,CIV,Urban population,SP.URB.TOTL,7101009,7342527,7578948,7814052,8053836,8302480,8561993,8832387
Cameroon,CMR,Urban population,SP.URB.TOTL,7065360,7349440,7645217,7953195,8274119,8607974,8955662,9317567
"Congo, Dem. Rep.",COD,Urban population,SP.URB.TOTL,16544510,17234262,17981231,18783708,19635482,20534301,21483250,22487133
"Congo, Rep.",COG,Urban population,SP.URB.TOTL,1835639,1903599,1973547,2046738,2124992,2209458,2301053,2399049
Colombia,COL,Urban population,SP.URB.TOTL,29309133,29941978,30573545,31200435,31817836,32422511,33015425,33597407
Comoros,COM,Urban population,SP.URB.TOTL,152294,155851,159409,162991,166645,170490,174541,178801
Cabo Verde,CPV,Urban population,SP.URB.TOTL,228797,236546,244272,251945,259570,267120,274601,282014
Costa Rica,CRI,Urban population,SP.URB.TOTL,2339858,2436984,2532442,2626685,2720493,2814376,2908608,3002810
Caribbean small states,CSS,Urban population,SP.URB.TOTL,3272897,3300933,3326491,3351010,3375383,3398931,3422331,3445563
Cuba,CUB,Urban population,SP.URB.TOTL,8380756,8435471,8487665,8528229,8554893,8573896,8584106,8586852
Curacao,CUW,Urban population,SP.URB.TOTL,121481,117447,117440,119730,121652,124627,127696,130064
Cayman Islands,CYM,Urban population,SP.URB.TOTL,42305,43934,45347,46624,47899,49261,50729,52280
Cyprus,CYP,Urban population,SP.URB.TOTL,647548,660371,671118,681117,691221,701561,712252,723130
Czech Republic,CZE,Urban population,SP.URB.TOTL,7587516,7547721,7526242,7517054,7512306,7515659,7528974,7565828
Germany,DEU,Urban population,SP.URB.TOTL,61629857,61902439,62174878,62376854,62529997,62660267,62753557,62833410
Djibouti,DJI,Urban population,SP.URB.TOTL,549176,561331,572341,582415,591940,601229,610273,619017
Dominica,DMA,Urban population,SP.URB.TOTL,45457,45552,45877,46263,46666,47007,47312,47578
Denmark,DNK,Urban population,SP.URB.TOTL,4544013,4563004,4582981,4601394,4624434,4652908,4681382,4712839
Dominican Republic,DOM,Urban population,SP.URB.TOTL,5231292,5379713,5529103,5717747,5923402,6128825,6334156,6539067
Algeria,DZA,Urban population,SP.URB.TOTL,18600199,19094843,19591211,20095409,20615999,21159466,21729736,22327435
East Asia & Pacific (excluding high income),EAP,Urban population,SP.URB.TOTL,664171005,689239829,715843332,742771343,770083689,797778677,825166515,852428506
Early-demographic dividend,EAR,Urban population,SP.URB.TOTL,947945201,972865741,998910383,1025147788,1051736417,1078801871,1106351773,1134354147
East Asia & Pacific,EAS,Urban population,SP.URB.TOTL,848148000,876209795,906126744,936055669,966147698,996426796,1026344222,1055909249
Europe & Central Asia (excluding high income),ECA,Urban population,SP.URB.TOTL,249124933,249411269,249775373,250572422,251527548,252535779,253634708,254864409
Europe & Central Asia,ECS,Urban population,SP.URB.TOTL,590882531,592968758,595789100,599185026,602821368,606525226,610258935,614329197
Ecuador,ECU,Urban population,SP.URB.TOTL,7646590,7851984,8033023,8197752,8363683,8532064,8703740,8878732
"Egypt, Arab Rep.",EGY,Urban population,SP.URB.TOTL,29457843,30055505,30659221,31267887,31879899,32495529,33111796,33700834
Euro area,EMU,Urban population,SP.URB.TOTL,234371051,235934885,237878108,239986936,242114384,244169605,246100101,248142076
Eritrea,ERI,Urban population,SP.URB.TOTL,609484,651980,703157,760628,820403,879061,935315,989368
Spain,ESP,Urban population,SP.URB.TOTL,30937864,31186430,31708814,32390830,33059302,33727737,34408810,35159317
Estonia,EST,Urban population,SP.URB.TOTL,969061,961159,953352,945646,938279,931205,924006,918084
Ethiopia,ETH,Urban population,SP.URB.TOTL,9761537,10174157,10604081,11049316,11510093,11986371,12478999,13001477
European Union,EUU,Urban population,SP.URB.TOTL,304075051,305278438,306961949,309016307,311124846,313183120,315148345,317172249
Fragile and conflict affected situations,FCS,Urban population,SP.URB.TOTL,199097144,206315205,213804054,221574472,229542564,237732381,246130504,254361660
Finland,FIN,Urban population,SP.URB.TOTL,4253964,4273258,4290649,4307931,4327463,4349276,4372951,4398523
Fiji,FJI,Urban population,SP.URB.TOTL,388539,393125,396965,400572,404671,409743,416120,423586
France,FRA,Urban population,SP.URB.TOTL,46214923,46709572,47206862,47699496,48209409,48730237,49228312,49690036
Faroe Islands,FRO,Urban population,SP.URB.TOTL,16983,17472,17960,18366,18682,18988,19187,19293
"Micronesia, Fed. Sts.",FSM,Urban population,SP.URB.TOTL,23984,23931,23899,23871,23809,23700,23524,23308
Gabon,GAB,Urban population,SP.URB.TOTL,968917,1001790,1035389,1070252,1107101,1146536,1188550,1233155
United Kingdom,GBR,Urban population,SP.URB.TOTL,46319551,46557334,46930583,47323791,47767769,48269624,48798541,49351705
Georgia,GEO,Urban population,SP.URB.TOTL,2146120,2103451,2086373,2087702,2090052,2091919,2095077,2099115
Ghana,GHA,Urban population,SP.URB.TOTL,8469006,8811788,9166547,9534974,9919287,10320074,10739262,11176323
Gibraltar,GIB,Urban population,SP.URB.TOTL,31081,31604,32097,32556,32930,33222,33420,33524
Guinea,GIN,Urban population,SP.URB.TOTL,2543832,2621416,2697745,2774557,2854180,2938479,3028542,3124050
"Gambia, The",GMB,Urban population,SP.URB.TOTL,630760,663374,697680,733010,767537,803056,839503,877006
